reference_sequence_name	code	database	original_taxonomic_assignation
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_AcaryochlorisMBIC11017_FM995185	FM995185	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Acaryochloris
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_AcaryochlorisMBIC11017_KC668952	KC668952	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Acaryochloris
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_AcaryochlorisMBIC11017_KT952785	KT952785	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Acaryochloris
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_CyanothecePCC7425_AB486797	AB486797	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Cyanothece
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_CyanothecePCC7425_AM710387	AM710387	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Cyanothece
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_LoriellopsisLFB5_EF683072	EF683072	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Loriellopsis
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_LoriellopsisLFB5_FJ230802	FJ230802	SILVA_SSURef_NR99_128	Oxyphotobacteria;Nostocales;Nostocales
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_LoriellopsisLFB5_HM748318	HM748318	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Loriellopsis
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_SynechococcusIR11_AF448079	AF448079	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Synechococcus
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_SynechococcusIR11_AJ630648	AJ630648	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Synechococcus
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_SynechococcusIR11_JQ800880	JQ800880	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Synechococcus
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_SynechococcusIR11_JX133605	JX133605	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Synechococcus
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_ThermosynechococcusBP1_AF216942	AF216942	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Thermosynechococcus
Bacteria_Oxyphotobacteria_Thermosynechococcales_Thermosynechococcaceae_ThermosynechococcusBP1_CP003558	CP003558	SILVA_SSURef_NR99_128	Oxyphotobacteria;Thermosynechococcales;Thermosynechococcaceae;Thermosynechococcus
Bacteria_Planctomycetes_PlanctomycetesX_Gemmata_obscuriglobus_NR118911	NR118911	NCBI	NR_118911.1 Gemmata obscuriglobus strain UQM 2246 16S ribosomal RNA gene, complete sequence
Bacteria_Planctomycetes_PlanctomycetesX_Phycisphaera_mikurensis_NR074491	NR074491	NCBI	NR_074491.1 Phycisphaera mikurensis strain NBRC 102666 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Alphaproteobacteria_Brucella_pinnipedialis_CP007743	CP007743	ENA	ENA|CP007743.1:1890681..1892153:rRNA|CP007743.1:1890681..1892153:rRNA.1 Brucella pinnipedialis 16S ribosomal RNA 
Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacter_profundus_KF360052	KF360052	NCBI	KF360052.1 Caulobacter profundus strain DS48-5-2 16S ribosomal RNA gene, partial sequence
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobium_marinum_NR145875	NR145875	NCBI	NR_145875.1 Rhizobium marinum strain MGL06 16S ribosomal RNA, partial sequence
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodopseudomonas_palustris_EU531568	EU531568	NCBI	EU531568.1 Rhodopseudomonas palustris strain J 16S ribosomal RNA gene, partial sequence
Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_HIMB114_ADAC02000001	ADAC02000001	ENA	ENA|ADAC02000001.1:853899..855372:rRNA|ADAC02000001.1:853899..855372:rRNA.1 alpha proteobacterium HIMB114 16S ribosomal RNA 
Bacteria_Proteobacteria_Betaproteobacteria_Nitrosococcus_oceani_NR074330	NR074330	NCBI	NR_074330.1 Nitrosococcus oceani strain ATCC 19707 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_europaea_AF037106	AF037106	NCBI	AF037106.1 Nitrosomonas europaea 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Deltaproteobacteria_Geobacter_sulfurreducens_NR075009	NR075009	NCBI	NR_075009.1 Geobacter sulfurreducens strain PCA 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Epsilonproteobacteria_Helicobacter_hepaticus_AE017125	AE017125	NCBI	AE017125.1:c958328-956872 Helicobacter hepaticus ATCC 51449, complete genome
Bacteria_Proteobacteria_Gammaproteobacteria_Leucothrix_mucor_NR044870	NR044870	NCBI	NR_044870.1 Leucothrix mucor strain DSM 2157 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Gammaproteobacteria_Methylococcus_capsulatus_AE017282	AE017282	NCBI	AE017282.2:c2917406-2915934 Methylococcus capsulatus str. Bath, complete genome
Bacteria_Proteobacteria_Gammaproteobacteria_Methylocystis_rosea_NR042108	NR042108	NCBI	NR_042108.1 Methylocystis rosea strain SV97 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Gammaproteobacteria_Methylomonas_methanica_NR041815	NR041815	NCBI	NR_041815.1 Methylomonas methanica strain S1 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Gammaproteobacteria_Piscirickettsia_salmonis_NR025980	NR025980	NCBI	NR_025980.1 Piscirickettsia salmonis strain LF-89 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonas_aeruginosa_CP000438	CP000438	NCBI	CP000438.1:733095-734620 Pseudomonas aeruginosa UCBPP-PA14, complete genome
Bacteria_Proteobacteria_Gammaproteobacteria_Vibrio_vulnificus_NR036888	NR036888	NCBI	NR_036888.1 Vibrio vulnificus strain 324 16S ribosomal RNA gene, complete sequence
Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonas_campestris_NC003902	NC003902	NCBI	NC_003902.1:c4562841-4561295 Xanthomonas campestris pv. campestris str. ATCC 33913 chromosome, complete genome
Bacteria_Sericytochromatia_SericytochromatiaIncertaeSedis_UnknownFamily_UnknownGenus_AY212703	AY212703	SILVA_SSURef_NR99_128	Sericytochromatia
Bacteria_Sericytochromatia_SericytochromatiaIncertaeSedis_UnknownFamily_UnknownGenus_JN178275	JN178275	SILVA_SSURef_NR99_128	Sericytochromatia
Bacteria_Spirochaetes_SpirochaetesX_Borreliella_sinica_AB022145	AB022145	ENA	ENA|AB022145.1:1..1521:rRNA|AB022145.1:1..1521:rRNA.1 Borreliella sinica 16S ribosomal RNA 
Bacteria_Synergistetes_SynergistesX_Synergistes_jonesii_JPZR01000060	JPZR01000060	ENA	ENA|JPZR01000060.1:11..1533:rRNA|JPZR01000060.1:11..1533:rRNA.1 Synergistes jonesii 16S ribosomal RNA 
Bacteria_Thermodesulfobacterium_ThermodesulfobacteriumX_Thermodesulfobacterium_thermophilum_AF334601	AF334601	ENA	ENA|AF334601|AF334601.1 Thermodesulfobacterium thermophilum strain DSM 1276 16S ribosomal RNA gene, partial sequence. 
Bacteria_Thermotogae_ThermotogaeX_Thermotoga_maritima_CP007013	CP007013	ENA	ENA|CP007013.1:755091..756656:rRNA|CP007013.1:755091..756656:rRNA.1 Thermotoga maritima MSB8 16S ribosomal RNA 
Bacteria_Verrucomicrobia_VerrucomicrobiaX_Verrucomicrobium_spinosum_X90515	X90515	ENA 	ENA|X90515.1:1..1492:rRNA|X90515.1:1..1492:rRNA.1 Verrucomicrobium spinosum partial 16S ribosomal RNA 
Eukaryota_Apicomplexa_Colpodellid_Chromera_velia_3536	3536	PhytoREF	PhytoREF_3536_HM222967_Eukaryota_Alveolata_Apicomplexa_like_Colpodellid_Colpodellid_X_ARL_ARL_X_ARL_III_Chromera_Chromera_velia
Eukaryota_Apicomplexa_Colpodellid_Unknown_sp_274	274	PhytoREF	PhytoREF_274_DQ860014_Eukaryota_Alveolata_Apicomplexa_like_Colpodellid_Colpodellid_X_ARL_ARL_X_ARL_VI_ARL_VI_X_ARL_VI_XX_sp.
Eukaryota_Apicomplexa_Colpodellid_Unknown_sp_608	608	PhytoREF	PhytoREF_608_DQ200467_Eukaryota_Alveolata_Apicomplexa_like_Colpodellid_Colpodellid_X_ARL_ARL_X_ARL_V_ARL_V_X_ARL_V_XX_sp.
Eukaryota_Apicomplexa_Colpodellid_Unknown_sp_7408	7408	PhytoREF	PhytoREF_7408_DQ200483_Eukaryota_Alveolata_Apicomplexa_like_Colpodellid_Colpodellid_X_ARL_ARL_X_ARL_XX_ARL_XXX_ARL_XXX_sp.
Eukaryota_Apicomplexa_Colpodellid_Unknown_sp_7747	7747	PhytoREF	PhytoREF_7747_FJ358906_Eukaryota_Alveolata_Apicomplexa_like_Colpodellid_Colpodellid_X_ARL_ARL_X_ARL_XX_ARL_XXX_ARL_XXX_sp.
Eukaryota_Cercozoa_Chlorarachniophyceae_Bigelowiella_natans_639	639	PhytoREF	PhytoREF_639_AY702114_Eukaryota_Rhizaria_Cercozoa_Filosa-Chlorarachnea_Filosa-Chlorarachnea_X_Chlorarachniophyceae_Chlorarachniophyceae_X_Chlorarachniaceae_Bigelowiella_Bigelowiella_natans
Eukaryota_Cercozoa_Chlorarachniophyceae_Gymnochlora_stellata_161	161	PhytoREF	PhytoREF_161_AY702132_Eukaryota_Rhizaria_Cercozoa_Filosa-Chlorarachnea_Filosa-Chlorarachnea_X_Chlorarachniophyceae_Chlorarachniophyceae_X_Chlorarachniaceae_Gymnochlora_Gymnochlora_stellata
Eukaryota_Cercozoa_Chlorarachniophyceae_Lotharella_vacuolata_618	618	PhytoREF	PhytoREF_618_U21491_Eukaryota_Rhizaria_Cercozoa_Filosa-Chlorarachnea_Filosa-Chlorarachnea_X_Chlorarachniophyceae_Chlorarachniophyceae_X_Chlorarachniaceae_Lotharella_Lotharella_vacuolata
Eukaryota_Cercozoa_Chlorarachniophyceae_Partenskyella_glossopodia_953	953	PhytoREF	PhytoREF_953_Eukaryota_Rhizaria_Cercozoa_Filosa-Chlorarachnea_Filosa-Chlorarachnea_X_Chlorarachniophyceae_Chlorarachniophyceae_X_Chlorarachniaceae_Partenskyella_Partenskyella_glossopodia
Eukaryota_Chlorophyta_Chlorodendrophyceae_Scherffelia_dubia_533	533	PhytoREF	PhytoREF_533_AF393609_Eukaryota_Archaeplastida_Chlorophyta_Chlorodendrophyceae_Chlorodendrophyceae_X_Chlorodendrales_Chlorodendrales_X_Chlorodendraceae_Scherffelia_Scherffelia_dubia
Eukaryota_Chlorophyta_Chlorodendrophyceae_Tetraselmis_cordiformis_251	251	PhytoREF	PhytoREF_251_HE610165_Eukaryota_Archaeplastida_Chlorophyta_Chlorodendrophyceae_Chlorodendrophyceae_X_Chlorodendrales_Chlorodendrales_X_Chlorodendraceae_Tetraselmis_Tetraselmis_cordiformis
Eukaryota_Chlorophyta_Chlorodendrophyceae_Tetraselmis_subcordiformis_5049	5049	PhytoREF	PhytoREF_5049_JN561782_Eukaryota_Archaeplastida_Chlorophyta_Chlorodendrophyceae_Chlorodendrophyceae_X_Chlorodendrales_Chlorodendrales_X_Chlorodendraceae_Tetraselmis_Tetraselmis_subcordiformis
Eukaryota_Chlorophyta_Chlorophyceae_Chlamydomonas_reinhardtii_5486	5486	PhytoREF	PhytoREF_5486_J01395_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chlamydomonadales_Chlamydomonadales_X_Chlamydomonadaceae_Chlamydomonas_Chlamydomonas_reinhardtii
Eukaryota_Chlorophyta_Chlorophyceae_Dunaliella_sp_636	636	PhytoREF	PhytoREF_636_AY862772_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chlamydomonadales_Chlamydomonadales_X_Dunaliellaceae_Dunaliella_Dunaliella_sp.
Eukaryota_Chlorophyta_Chlorophyceae_Floydiella_terrestris_4431	4431	PhytoREF	PhytoREF_4431_GU196268_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chaetopeltidales_Chaetopeltidales_X_Chaetopeltidaceae_Floydiella_Floydiella_terrestris
Eukaryota_Chlorophyta_Chlorophyceae_Haematococcus_pluvialis_448	448	PhytoREF	PhytoREF_448_HQ317401_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chlamydomonadales_Chlamydomonadales_X_Haematococcaceae_Haematococcus_Haematococcus_pluvialis
Eukaryota_Chlorophyta_Chlorophyceae_Oedogonium_cardiacum_584	584	PhytoREF	PhytoREF_584_EU677193_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Oedogoniales_Oedogoniales_X_Oedogoniaceae_Oedogonium_Oedogonium_cardiacum
Eukaryota_Chlorophyta_Chlorophyceae_Spermatozopsis_exsultans_599	599	PhytoREF	PhytoREF_599_HE610158_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chlamydomonadales_Chlamydomonadales_X_Dunaliellaceae_Spermatozopsis_Spermatozopsis_exsultans
Eukaryota_Chlorophyta_Chlorophyceae_Stigeoclonium_helveticum_6230	6230	PhytoREF	PhytoREF_6230_NC_008372_Eukaryota_Archaeplastida_Chlorophyta_Chlorophyceae_Chlorophyceae_X_Chaetophorales_Chaetophorales_X_Chaetophorales_XX_Stigeoclonium_Stigeoclonium_helveticum
Eukaryota_Chlorophyta_Mamiellophyceae_Bathycoccus_prasinos_8051	8051	PhytoREF	PhytoREF_8051_FO082259_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Mamiellales_Mamiellales_X_Bathycoccaceae_Bathycoccus_Bathycoccus_prasinos
Eukaryota_Chlorophyta_Mamiellophyceae_Crustomastix_stigmatica_713	713	PhytoREF	PhytoREF_713_FN563093_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Dolichomastigales_Dolichomastigales_X_Dolichomastigaceae_Crustomastix_Crustomastix_stigmatica
Eukaryota_Chlorophyta_Mamiellophyceae_Dolichomastix_tenuilepis_5593	5593	PhytoREF	PhytoREF_5593_AB491648_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Dolichomastigales_Dolichomastigales_X_Dolichomastigaceae_Dolichomastix_Dolichomastix_tenuilepis
Eukaryota_Chlorophyta_Mamiellophyceae_Mantoniella_squamata_15	15	PhytoREF	PhytoREF_15_FN563096_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Mamiellales_Mamiellales_X_Mamiellaceae_Mantoniella_Mantoniella_squamata
Eukaryota_Chlorophyta_Mamiellophyceae_Monomastix_sp_832	832	PhytoREF	PhytoREF_832_FN563092_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Monomastigales_Monomastigales_X_Monomastigaceae_Monomastix_Monomastix_sp.
Eukaryota_Chlorophyta_Mamiellophyceae_Ostreococcus_sp_3777	3777	PhytoREF	PhytoREF_3777_AACY020416011_Eukaryota_Archaeplastida_Chlorophyta_Mamiellophyceae_Mamiellophyceae_X_Mamiellales_Mamiellales_X_Bathycoccaceae_Ostreococcus_Ostreococcus_sp.
Eukaryota_Chlorophyta_Nephroselmidophyceae_Nephroselmis_astigmatica_962	962	PhytoREF	PhytoREF_962_FN563084_Eukaryota_Archaeplastida_Chlorophyta_Nephroselmidophyceae_Nephroselmidophyceae_X_Nephroselmidales_Nephroselmidales_X_Nephroselmidaceae_Nephroselmis_Nephroselmis_astigmatica
Eukaryota_Chlorophyta_Nephroselmidophyceae_Nephroselmis_olivacea_3311	3311	PhytoREF	PhytoREF_3311_AF137379_Eukaryota_Archaeplastida_Chlorophyta_Nephroselmidophyceae_Nephroselmidophyceae_X_Nephroselmidales_Nephroselmidales_X_Nephroselmidaceae_Nephroselmis_Nephroselmis_olivacea
Eukaryota_Chlorophyta_Nephroselmidophyceae_Nephroselmis_pyriformis_3056	3056	PhytoREF	PhytoREF_3056_FN563083_Eukaryota_Archaeplastida_Chlorophyta_Nephroselmidophyceae_Nephroselmidophyceae_X_Nephroselmidales_Nephroselmidales_X_Nephroselmidaceae_Nephroselmis_Nephroselmis_pyriformis
Eukaryota_Chlorophyta_Nephroselmidophyceae_Nephroselmis_rotunda_79	79	PhytoREF	PhytoREF_79_FN563085_Eukaryota_Archaeplastida_Chlorophyta_Nephroselmidophyceae_Nephroselmidophyceae_X_Nephroselmidales_Nephroselmidales_X_Nephroselmidaceae_Nephroselmis_Nephroselmis_rotunda
Eukaryota_Chlorophyta_Pedinophyceae_Marsupiomonas_pelliculata_758	758	PhytoREF	PhytoREF_758_HE610170_Eukaryota_Archaeplastida_Chlorophyta_Pedinophyceae_Pedinophyceae_X_Marsupiomonadales_Marsupiomonadales_X_Marsupiomonadaceae_Marsupiomonas_Marsupiomonas_pelliculata
Eukaryota_Chlorophyta_Pedinophyceae_Pedinomonas_tuberculata_883	883	PhytoREF	PhytoREF_883_HE610168_Eukaryota_Archaeplastida_Chlorophyta_Pedinophyceae_Pedinophyceae_X_Pedinomonadales_Pedinomonadales_X_Pedinomonadaceae_Pedinomonas_Pedinomonas_tuberculata
Eukaryota_Chlorophyta_Pedinophyceae_Resultor_mikron_999	999	PhytoREF	PhytoREF_999_HE610171_Eukaryota_Archaeplastida_Chlorophyta_Pedinophyceae_Pedinophyceae_X_Pedinomonadales_Pedinomonadales_X_Pedinomonadaceae_Resultor_Resultor_mikron
Eukaryota_Chlorophyta_PrasinophyceaeCVII_GroupA_sp_187	187	PhytoREF	PhytoREF_187_FN563080_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Prasino-clade-7_Prasino-clade-7_X_Prasino-clade-7_X-A_Prasino-clade-7_X-A2_Prasino-clade-7_X-A2_sp.
Eukaryota_Chlorophyta_PrasinophyceaeCVII_GroupA_sp_6295	6295	PhytoREF	PhytoREF_6295_EU249940_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Prasino-clade-7_Prasino-clade-7_X_Prasino-clade-7_X-A_Prasino-clade-7_X-A_X_Prasino-clade-7_X-A_X_sp.
Eukaryota_Chlorophyta_PrasinophyceaeCVII_GroupA_sp_6709	6709	PhytoREF	PhytoREF_6709_EU249946_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Prasino-clade-7_Prasino-clade-7_X_Prasino-clade-7_X-A_Prasino-clade-7_X-A_X_Prasino-clade-7_X-A_X_sp.
Eukaryota_Chlorophyta_PrasinophyceaeCVII_Picocystis_salinarum_785	785	PhytoREF	PhytoREF_785_AB491631_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Prasino-clade-7_Prasino-clade-7_X_Prasino-clade-7C_Picocystis_Picocystis_salinarum
Eukaryota_Chlorophyta_Prasinophyceae_Prasinococcus_capsulatus_3037	3037	PhytoREF	PhytoREF_3037_FN563087_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Prasinococcales_Prasinococcales_X_Prasinococcaceae_Prasinococcus_Prasinococcus_capsulatus
Eukaryota_Chlorophyta_Prasinophyceae_Prasinoderma_coloniale_3829	3829	PhytoREF	PhytoREF_3829_FN563089_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Pseudoscourfieldiales-clade-6_Pseudoscourfieldiales_X_Pycnococcaceae_Prasinoderma_clade-6_Prasinoderma_coloniale
Eukaryota_Chlorophyta_Prasinophyceae_Pycnococcus_provasolii_3635	3635	PhytoREF	PhytoREF_3635_FJ493498_Eukaryota_Archaeplastida_Chlorophyta_Prasinophyceae_Prasinophyceae_X_Pseudoscourfieldiales_Pseudoscourfieldiales_X_Pycnococcaceae_Pycnococcus_Pycnococcus_provasolii
Eukaryota_Chlorophyta_Trebouxiophyceae_Auxenochlorella_protothecoides_3307	3307	PhytoREF	PhytoREF_3307_JN677644_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Chlorellaceae_Auxenochlorella_Auxenochlorella_protothecoides
Eukaryota_Chlorophyta_Trebouxiophyceae_Auxenochlorella_sp_5617	5617	PhytoREF	PhytoREF_5617_FJ890890_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Chlorellaceae_Auxenochlorella_Auxenochlorella_sp.
Eukaryota_Chlorophyta_Trebouxiophyceae_Chlorella_sorokiniana_4943	4943	PhytoREF	PhytoREF_4943_X65689_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Chlorellaceae_Chlorella_Chlorella_sorokiniana
Eukaryota_Chlorophyta_Trebouxiophyceae_Chlorella_sp_5612	5612	PhytoREF	PhytoREF_5612_KF029438_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Chlorellaceae_Chlorella_Chlorella_sp.
Eukaryota_Chlorophyta_Trebouxiophyceae_Chloroidium_saccharophilum_5646	5646	PhytoREF	PhytoREF_5646_D11349_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Oocystaceae_Chloroidium_Chloroidium_saccharophilum
Eukaryota_Chlorophyta_Trebouxiophyceae_Coccomyxa_solorinaesaccatae_193	193	PhytoREF	PhytoREF_193_AM292034_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Trebouxiophyceae_XX_Trebouxiophyceae_XXX_Coccomyxaceae_Coccomyxa_Coccomyxa_solorinae-saccatae
Eukaryota_Chlorophyta_Trebouxiophyceae_Coccomyxa_sp_5425	5425	PhytoREF	PhytoREF_5425_AJ880281_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Trebouxiophyceae_XX_Trebouxiophyceae_XXX_Coccomyxaceae_Coccomyxa_Coccomyxa_sp.
Eukaryota_Chlorophyta_Trebouxiophyceae_Coccomyxa_subellipsoidea_6133	6133	PhytoREF	PhytoREF_6133_NC_015084_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Trebouxiophyceae_XX_Trebouxiophyceae_XXX_Coccomyxaceae_Coccomyxa_Coccomyxa_subellipsoidea
Eukaryota_Chlorophyta_Trebouxiophyceae_Heveochlorella_roystonensis_957	957	PhytoREF	PhytoREF_957_JN003600_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Trebouxiophyceae_XX_Trebouxiophyceae_XXX_Trebouxiophyceae_XXXX_Heveochlorella_Heveochlorella_roystonensis
Eukaryota_Chlorophyta_Trebouxiophyceae_Leptosira_terrestris_5660	5660	PhytoREF	PhytoREF_5660_EF506945_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Trebouxiophyceae_XX_Trebouxiophyceae_XXX_Trebouxiophyceae_XXXX_Leptosira_Leptosira_terrestris
Eukaryota_Chlorophyta_Trebouxiophyceae_Oocystis_solitaria_744	744	PhytoREF	PhytoREF_744_FJ968739_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Oocystaceae_Oocystis_Oocystis_solitaria
Eukaryota_Chlorophyta_Trebouxiophyceae_Picochlorum_eukaryotum_5537	5537	PhytoREF	PhytoREF_5537_X76084_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Chlorellales_Chlorellales_X_Chlorellale_XX_Picochlorum_Picochlorum_eukaryotum
Eukaryota_Chlorophyta_Trebouxiophyceae_Stichococcus_bacillaris_831	831	PhytoREF	PhytoREF_831_HE610161_Eukaryota_Archaeplastida_Chlorophyta_Trebouxiophyceae_Trebouxiophyceae_X_Prasiolales_Prasiolales_X_Prasiolaceae_Stichococcus_Stichococcus_bacillaris
Eukaryota_Chlorophyta_Ulvophyceae_Acrosiphonia_sp_515	515	PhytoREF	PhytoREF_515_FN563074_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Ulotrichales_Ulotrichales_X_Ulotrichaceae_Acrosiphonia_Acrosiphonia_sp.
Eukaryota_Chlorophyta_Ulvophyceae_Avrainvillea_nigricans_5654	5654	PhytoREF	PhytoREF_5654_FJ535834_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Dichotomosiphonaceae_Avrainvillea_Avrainvillea_nigricans
Eukaryota_Chlorophyta_Ulvophyceae_Bryopsis_sp_5529	5529	PhytoREF	PhytoREF_5529_JF521611_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Bryopsidaceae_Bryopsis_Bryopsis_sp.
Eukaryota_Chlorophyta_Ulvophyceae_Caulerpa_sertularioides_101	101	PhytoREF	PhytoREF_101_AY389514_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Caulerpaceae_Caulerpa_Caulerpa_sertularioides
Eukaryota_Chlorophyta_Ulvophyceae_Caulerpella_ambigua_5677	5677	PhytoREF	PhytoREF_5677_FJ535836_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Caulerpaceae_Caulerpella_Caulerpella_ambigua
Eukaryota_Chlorophyta_Ulvophyceae_Codium_fragile_4816	4816	PhytoREF	PhytoREF_4816_U08345_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Codiaceae_Codium_Codium_fragile
Eukaryota_Chlorophyta_Ulvophyceae_Desmochloris_halophila_202	202	PhytoREF	PhytoREF_202_HE610155_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Ulvophyceae_XX_Ulvophyceae_XXX_Ulvophyceae_XXXX_Desmochloris_Desmochloris_halophila
Eukaryota_Chlorophyta_Ulvophyceae_Ostreobium_sp_577	577	PhytoREF	PhytoREF_577_FJ535840_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Ostreobiaceae_Ostreobium_Ostreobium_sp.
